,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
34,0.563497257232666,0.002686603520978999,0.004587745666503907,0.0004885972991334477,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9930832559072263,0.9564731984520495,0.9582206046748836,0.9190046935479522,0.9966262615940807,0.9646816028352385,0.02836412368547803,1,-0.031201872913377806,-0.08450618528515919,-0.08080228786443722,-0.11609676644639307,-0.023543568530697303,-0.06723013620801291,0.03486305974698074,1
33,0.45351123809814453,0.003315674563432104,0.00458831787109375,0.000488869779896897,0.01,0.1,3,400,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}",0.9930832559072263,0.9564731984384334,0.9582206046748836,0.9190046935479522,0.9966262615498616,0.9646816028236713,0.028364123676305877,2,-0.031201872913377806,-0.08450618529837688,-0.08080228786443722,-0.11609676644639307,-0.02354356868498833,-0.06723013624151467,0.034863059709622606,2
32,0.3422025203704834,0.0027551946220849737,0.0045872688293457035,0.0004883055941652388,0.01,0.1,3,300,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.9930832558209057,0.956473198424816,0.9582206045815144,0.9190046934563556,0.9966262615056414,0.9646816027578466,0.02836412368360128,3,-0.031201873108076723,-0.08450618531159566,-0.08080228795472626,-0.11609676651203928,-0.023543568839283192,-0.06723013634514421,0.03486305965745516,3
31,0.23179783821105956,0.0013054979753380413,0.004388141632080078,0.0004890650366864082,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9930832556051015,0.9564731984111977,0.958220604235699,0.9190046933609404,0.9966262614614202,0.9646816026148718,0.028364123677696227,4,-0.0312018735948301,-0.08450618532481549,-0.08080228828913365,-0.11609676658042228,-0.023543568993581888,-0.06723013655655669,0.03486305956469797,4
30,0.11959280967712402,0.0009043228283670316,0.0044939517974853516,0.0004457610866411318,0.01,0.1,3,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9930833046705293,0.9564726579668609,0.9582199159888554,0.9190055370465798,0.996626322851999,0.964681547704965,0.028363938241215532,5,-0.031201762926002092,-0.08450670995269823,-0.08080295382880726,-0.11609616191927649,-0.023543354786125147,-0.06723018868258183,0.03486307043183291,5
19,0.5629521369934082,0.001425979497379052,0.004587793350219726,0.0004886360620900065,0.01,0.01,3,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.9928268908028651,0.9559817662414595,0.957763840269633,0.919398961220036,0.9964796809542583,0.9644902278976504,0.02820337608278007,6,-0.031774851590906414,-0.0849818979242301,-0.08124278348175623,-0.11581385473608496,-0.024049585753931204,-0.06757259469738178,0.03462053664914931,6
18,0.4523369789123535,0.001566156104009696,0.004592323303222656,0.0004841047911243225,0.01,0.01,3,400,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}",0.992542288939949,0.9550735421232176,0.9567493663653586,0.9188422968834102,0.9961036079926138,0.96386222046091,0.028343184285340328,7,-0.032399073140329394,-0.08585413350008861,-0.08221268267207028,-0.11621309594392355,-0.02530159556616978,-0.06839611616451632,0.03445306444035864,7
29,0.6751455783843994,0.007835865588615572,0.00498666763305664,4.90933901833868e-07,0.01,0.01,9,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9894550715836314,0.9559101932031816,0.9556015866652269,0.9191768736249442,0.9967290237410663,0.96337454976361,0.02779310958840645,8,-0.038525796620389206,-0.08505095955667555,-0.08329641451689763,-0.11597330136038858,-0.023182233908990026,-0.0692057411926682,0.03375276262892702,8
24,0.6316401958465576,0.005209726574844535,0.004987144470214843,6.67572021484375e-07,0.01,0.01,6,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9894550715836314,0.9559101932031816,0.9556015866652269,0.9191768736249442,0.9966516194669464,0.9633590689087861,0.027774542078707325,9,-0.038525796620389206,-0.08505095955667555,-0.08329641451689763,-0.11597330136038858,-0.023454921930073588,-0.06926027879688491,0.033678492526180305,9
44,0.734569501876831,0.009812778088530514,0.004388284683227539,0.0004883636511251108,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914772048134,0.9632020109662035,0.0277135454099779,10,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.022959855587524357,-0.06948242557846844,0.03354264779731782,10
